Date, Filename, Objective Zoom, Digital Zoom, Frame Height (Pixels), Turnabout
2019/06/28 12:42, 190626_001, 16, 5, 512, 278
2019/10/30 13:18, 191029_001, 16, 3, 512, 278
2019/12/11 13:02, 191210_015, 16, 3, 512, 278
2019/12/11 13:43, 191210_016, 16, 3, 512, 278
2020/01/10 14:15, 200110_001, 16, 2, 512, 278
2020/01/10 16:30, 200110_002, 16, 3, 512, 278
2020/01/13 13:32, 200113_001, 16, 1, 512, 278
2020/12/16 22:15, 201109_003, 16, 1, 512, 278
2020/12/16 22:16, 201109_003, 16, 1, 512, 278
2021/04/21 17:33, 210408_001, 16, 1, 512, 278
2021/04/21 18:49, 210408_002, 16, 1, 512, 278
2021/04/22 02:01, 210408_003, 16, 1, 512, 278
2021/04/22 22:27, 210408_004, 16, 1, 512, 278
2021/04/22 22:50, 210408_005, 16, 1, 512, 278
2021/04/22 23:13, 210408_006, 16, 1, 512, 278
2021/04/22 23:51, 210408_007, 16, 1, 512, 278
2021/04/23 00:19, 210408_008, 16, 1, 512, 278
2021/04/23 00:36, 210408_009, 16, 1, 512, 278
2021/04/23 00:52, 210408_010, 16, 1, 512, 278
2021/04/23 01:05, 210408_011, 16, 1, 512, 278
2021/04/23 12:42, 210408_008, 16, 1, 512, 278
2023/11/01 17:21, 31_002_avg, 16, 1, 512, 278
